,Name,Rating,Review,Date
80,Mark Cowley, 4 stars ,"I would give this spot 10 stars if I could. Dropped in for breakfast this afternoon, and noticed the staff offering delivery drivers a seat and water the moment they walked in. It was really amazing to see, and it happened atleast 3 times while I was there. Just shows that the staff and management really are great, and good service is 360. To top it off - the food and ambience was amazing too!",a year ago
81,LeSkyGFX, 5 stars ,"Thank you for your lovely review Maria, we look forward to welcoming you again.",a year ago
82,Caleigh Emma, 5 stars ,"I'm a huge fan of Common Grounds overall. Their menu is rich and ingredients quality, even if a bit overpriced. The acoustics of the JBR location are not as good as the MoE and similar but here you have the added benefit of being by the beach, so it's a good tradeoff. Love the Keto Breakfast and acai bowl. Staff really friendly too. Only word of warning is ensure you have small change for the carpark if you spend more than a few hours t JBR.",a year ago
83,Iman Obd, 3 stars ,so good!,11 months ago
84,Gabriel, 5 stars ,"Thank you for your amazing  review Katharina, we appreciate the review and rating, we  hope to see you again soon.",7 months ago
85,jereen babu, 5 stars ,"Spectacular. Wonderful, flavorful, and highly recommend. The breakfast, smoothies and coffee and the best in the area. It’s clean and so tasteful.  Stella and all were very pleasant and inviting we found it hard leave. Go for the coffee, stay for the food ambiance.",7 months ago
86,Elena Tschimev, 5 stars ,"Thank you for your amazing review Charlie, we appreciate it, looking forward to seeing you again.",a year ago
87,Jakub Mahdal, 5 stars ,"Food and coffee were nice but perhaps I didn't get the best crew this morning?

Not sure but seemed disinterested in serving but rather talking with each other so took unnecessarily a long time.",a year ago
88,DHRUV KAPOOR, 5 stars ,"Apologies for your experience Thomas, we are constantly working to improve our service, hope to see you soon.",a year ago
89,HH, 5 stars ,"The restaurant is very excellent and the food is very very delicious, but the staff is bad, the service is bad, there is no respect for the customer, indifference, there is no smile, all the staff are bad, disrespectful (I asked the employee the bill, he gave it from behind my back and when I told him you should give me come from the front and not from behind my back he did not like my words  He did not care (I wish the owner of the restaurant would review the staff and give them customer service courses) and also when I asked the employee that he would suggest me appetizers, he told me please read the menu. I told him I had read it, but I need your help. He refused and asked me to review the menu . Unfortunately, I fell in love with eating in the restaurant, but the bad service made me take a stand from the restaurant and not return to the restaurant again. It gave me a bad impression about it. I will not advise anyone who asks me about the restaurant to go to it because its service is very, very bad.",a year ago
90,I K, 4 stars ,"Good day Abdullah, our sincere apologies for your experience. We are constantly working to improve and make sure that each customers individual expectations are met when they visit us. We have duly noted and will work on the areas mentioned by you. We express our heart felt apologies once and hope to see you again.
Please look for Chetan when you visit and he will take care of you .",11 months ago
91,Essa Almheiri, 5 stars ,Lovely little place for breakfast,2 months ago
92,Rolf Rau, 5 stars ,"Thanks for your amazing review Vishal, we look forward to welcoming you again.",a year ago
93,Ali Khraizat, 4 stars ,"I was there with work team, first time to eat in Common Grounds..we went for breakfast

Place these is nice & calming, good for relax time while eating

Staff are friendly, the lady served our ta le games a good tips, soory that I don't remember her name .. yet she gives me a good advice on meal to choose cause I was looking for light meal but not that healthy

Price, I did not pay, so can't comment on it

I had blueberries with hot cack..the look of the plate was 🤩 & the tast was incredible 😋 😍 👌 , my colleagues jumbed in & ate it all, I just had 2 bits  😆

Forgot to take pictures, they did not gave me a chance 🙃",a year ago
94,someone Two, 1 star ,"Thanks for your lovely review Hanan, we are glad you enjoyed your dining experience with us. We look forward to welcoming you again.",3 months ago
95,Vinod Rajana, 5 stars ,Very nice restaurant! Menu is great and service is very good. Our waiter Jarex took good care of us! We’ll be back,a year ago
96,Lauren Parsell, 5 stars ,"Hi Charlotte,
We are glad to hear that you had a good experience , thankyou for your kind words . Hope to see you soon",8 months ago
97,Farinaz Modir, 5 stars ,"Service was slow. Food was okay. I ordered the beef bacon sandwich. Too much bread and sauce. Not enough meat, tomatoes.",a year ago
98,David Ramos, 5 stars ,"Apologies on your experience Dennis, we are constantly working on improving our food and service standards. Please look for Mr. Chetan on your next visit to assist you personally. We hope to see you again soon.",a year ago
99,Kim Døfler, 5 stars ,Location is good. Good they have late breakfast. Portions are small though. Not much choices for kids. Very late in serving the food,a year ago
100,Abdulla Saud, 5 stars ,"Hi Madhi

Thankyou for your feedback , I am sorry you weren't pleased with the selection of kids menu and food serving time. However i cant change what happened  but we look forward to see you again in the venue and make your dine in experience better. Look for Chetan ( Manager ) for assistance.",a year ago
101,Noha Ahmed, 5 stars ,Great healthy food that really tastes amazing. The staff is super kind and always ready to help out.Jarex is a wonderful manager to a heart opening team,a year ago
102,Krista D., 5 stars ,"Hi Flo Wolf

We appreciate your kind words, we are happy to hear that our team took good care of you, Jarex is a star of our team.
we hope to see you soon. stay safe",8 months ago
103,Mark Brooks, 5 stars ,Had nice breakfast at the beach,3 weeks ago
104,Abdulaziz zwier, 4 stars ,A lovely place with exceptional ambiance to it. The food is also yummy. Definitely a great day mini getaway.,a year ago
105,sabir ali sarkar, 4 stars ,"Thank you for your lovely review Mariam, we look forward to welcoming you again.",a year ago
106,Abdulrahman Alaqil, 5 stars ,"The pancakes was delicious and the carrot cake also. The staff is helpful but one thing found it not good which is the vibe, It was crowded and so noisy couldn’t chat with my partner.",3 months ago
107,Olessia Rukina (SIBERICA), 5 stars ,"Hi Asma
We are Glad to hear that you love our dishes and the service. I can understand the venue is crowded and noisy during weekends which also makes me hard to communicate with my team member. we would like to welcome you during our weekdays service where the venue is quite less crowded and amazing vibes & i am sure you will love it.
looking forward to serve you soon.",a year ago
108,Hanadi, 5 stars ,I’ve tried V60 with beans from Colombia roasted by Encounter. The barista has brewed it very well & definitely I’ll come back,2 months ago
109,السيدة غيداء, 3 stars ,"Thank you for your lovely review Lance, we appreciate it and definitely look forward to seeing you again.",a year ago
110,Ahmad S.D, 5 stars ,"A very great place for good food, coffee and more.
It`s also very vegan friendly and the team is great.
I can recommend this restaurant from the bottom of my heart.",a year ago
111,Hazar Miro, 4 stars ,"Thank you for your lovely review Christina, we always look forward to welcoming you again.",3 weeks ago
112,Gassan Almoziny, 2 stars ,"Best coffee in JBR! If you're looking for flat white and specialty coffee, look no more, this is the place. It reminds me so much of Australia, I love it.",a year ago
113,abdullah, 1 star ,"Hi Synthia,
Glad to hear that you loved our coffee. Our Baristas are always working hard to deliver the best quality coffee . During your next visit please look for Jayson our head barista he will love to brew a nice cup of any speciality coffee right next to you. Thank you once again for your beautiful review.",a year ago
114,haifaa alghamdi, 4 stars ,Amazingly delightful with lots of choices of healthy food,11 months ago
115,R.v. Spalburg, 5 stars ,"Thank you Yasser for your review, we hope  you enjoyed the Common Grounds experience and we look forward to welcoming you again.",4 weeks ago
116,lele elel, 1 star ,"Food is pretty tasty, though nothing wow for the prices they charge. 56 aed for an avocado toast, at least they had filtered water.",a month ago
117,Giovannino Bonetti, 5 stars ,"Amazing food, smoothies, and coffee. A great place for breakfast and lunch on The Walk. Stella was incredibly kind and helpful and the menu was filled with amazing things.",8 months ago
118,Vera, 5 stars ,"Thank you for your lovely review Finn, we look forward to seeing you again.",7 months ago
119,Maha Alsayadi, 2 stars ,Everything tastes strange even the coffee. I gave 2 stars for the friendly staff only. The taste and the prices are just bad,a year ago
120,N P, 5 stars ,"Hello Aziz,
greetings from Common ground's team
We sincerely apologize   that your experience was not good,  We strive to constantly
deliver the best customer service
experience however we could not met your expectations we look forward to see you again and give us last opportunity to take good care of you. please look for Chetan ( manager) once you visit the store.
Thankyou.",a year ago
121,Christian Adser, 4 stars ,"Small portions, extremely over priced for such portions.
Taste is good, not fancy!",8 months ago
122,Артем Малышев, 5 stars ,"Good evening Firas, we apologize for your experience as we are currently working on delivering the best food and service. Please look for Mr. Chetan on your next visit and he will take care of you personally.",11 months ago
123,Alexander Bobkov, 5 stars ,Peaceful place and the coffee is amazing,9 months ago
124,الفراشه استايل, 4 stars ,"Thank you so much for your wonderful review Mohammed, we appreciate it and hope to see you again soon.",11 months ago
125,Hanan 7nO, 5 stars ,"Tried twice, food average, didn’t like smoothies, slow service",a year ago
126,Катерина Николаевская, 5 stars ,We apologize  for your experience and hope that we will see you soon. Please look for Mr. Chetan on your next visit to take care of  you.,8 months ago
127,Ingrid Ueberschär, 5 stars ,"Tried their french toast, pumpkin hummus, flat white and latte. Good overall.",9 months ago
128,Jaquanda Lee, 4 stars ,"Thank you for your lovely review Faisal, we look forward to welcoming you again.",10 months ago
129,Robin Machado, 4 stars ,"Great healthy food, relaxed setting, table service. And very good coffee too",a year ago
130,Peary H., 4 stars ,"Thank you for your lovely review Vladimir, we look forward to welcoming you again.",a month ago
131,Alika, 5 stars ,Nice clean and yummy food. Very good portions,a month ago
132,Rhex2U VloG, 5 stars ,"Thank you for your lovely review Julian, we look forward to welcoming you again.",a month ago
133,Gopal Awasthi, 4 stars ,Turkish egg is to die for. Bacon sandwich is also lovely,4 months ago
134,Claudine, 5 stars ,"Thanks for your lovely review Tina, we hope to welcome you again.",5 months ago
135,AKM147i, 1 star ,Great breakfast. Coffee beans are extremely strong. Not for eveyone for sure,5 months ago
136,Zool Sudani, 5 stars ,"Thank you for your review Shine, we look forward to welcoming you again.",8 months ago
137,Abrix s, 3 stars ,Sensational selection of healthy food and drinks just off the beach.,10 months ago
138,Manos Koumantakis, 3 stars ,"Thank you for your amazing review Vlad, we appreciate it and look forward to seeing you soon.",11 months ago
139,Roy, 5 stars ,Tasty food and great coffee. Good vibes,a year ago
140,Josip Barisic, 5 stars ,"Thanks for your amazing review Shahid Hussain, we hope to welcome you again soon.",a year ago
141,Ксюша Романова, 5 stars ,"Very nice dishes, tasty and well proportioned.",a year ago
142,Yury Kor, 5 stars ,"Thanks for your lovely review Alex, we look forward to welcoming you again.",2 months ago
143,Armando Caravella, 4 stars ,Located in The Beach good coffee,a month ago
144,John Mason, 5 stars ,"Thank you for your lovely review Mona, We appreciate it and look forward to welcoming you again.",a year ago
145,Dj Ordinario, 5 stars ,Thin hot chocolate. Was just powder. Cafe is nice and staff is friendly.,a month ago
146,Kirill Kubryakov, 5 stars ,"Best staff ,best service ,friendly  highly recommended.
Special thanks to Mr Chetan,Mr Jarex and Mr Ian.",a year ago
147,Salman Amir, 3 stars ,"Thanks for your lovely review Mawya, we look forward to welcoming you again.",11 months ago
148,تركي محمد, 2 stars ,Good cafe in JBR  but outdoor area small and a bit in the thoroughfare.,a year ago
149,sandhya subedi, 5 stars ,"Hi Mark ,
Thankyou for your time to give us your feedback. We too beleive our outdoor seating area is quite small and we are planning to extend in future. We hope to see you soon.",3 days ago
150,Jamie Dempsey, 5 stars ,"Nice Service and nice food, great breakfast!",a year ago
151,Martin Šinko, 4 stars ,"Hi LeSkyGFX
Thankyou for your kind words. we look forward to see you soon.",9 months ago
152,Benjamin, 5 stars ,My friends and I love common grounds. Food and beverages are always good,a year ago
153,Ilyas Malik, 4 stars ,"Thank you for your lovely review Caleigh, we look forward to welcoming you again.",a year ago
154,Dmitrii Starovoitov, 5 stars ,Good pancake. Americano not so perfect was too strong.,a year ago
155,Mary Jenn Vianney Alcalde, 5 stars ,"Thank you for your review Iman, we are glad you enjoyed your pancakes, our americanos are brewed to perfection. Please ask for Mr. Chetan on your next visit to personally assist you so it is specially brewed to  your preference.",a year ago
156,Bojan Minić, 5 stars ,The best place for breakfast !,a year ago
157,Deniz Kaya, 5 stars ,"Thank you so much Gabriel for your amazing review, we are glad that you loved your experience and cant wait to welcome you again soon.",9 months ago
158,Arzu, 4 stars ,Fantastic food coffee and service....,a year ago
159,Nader Baba, 4 stars ,"Thank you for your wonderful review Jereen, weare constantly working to improve our food and service standards, we look forward to welcoming you again soon.",a year ago
160,Ali Bachrouch, 4 stars ,Best and very nutritious breakfast in JBR.,a year ago
161,TL MO, 3 stars ,"Thank you for your lovely review Elena, we look forward to welcoming you again.",a year ago
162,Yenny Nail, 5 stars ,"After a couple visits, I’ve decided to change my opinion, my bad experience was an exception",a year ago
163,Jayjay Alejandro, 5 stars ,"Hi Jakub
We appreciate your kind words,
Thankyou for being a valuable guest for us. We love to see you everyday in the venue.",a month ago
164,Ashwath Vikram, 5 stars ,Very very European feel in the surrounding. Absolutely stunning.,a year ago
165,Marcin Bożek, 4 stars ,"Hi Dhruv,

Thankyou for sharing your experience at Common Grounds JBR. We are glad that you enjoyed your visit. We hope to see you soon .",10 months ago
166,Moayad Sawaf, 4 stars ,Super Service. Great Staff and top Quality.,8 months ago
167,Osama Hassouna, 5 stars ,"Thanks for your lovely review Channel, we look forward to welcoming you again.",10 months ago
168,Hayedeh Jacob, 4 stars ,Great detox drinks breakfasts and more,8 months ago
169,Mansi Parmar, 5 stars ,"Thank you for your lovely review IK, we look forward to welcoming you again.",a year ago
170,Pyara ISLAM, 5 stars ,Delicious breakfast,a year ago
171,Osie Bhurgri, 5 stars ,"Thank you so much Essa for your amazing review and rating, we appreciate it and hope to see you soon.",a year ago
172,Jordan B, 5 stars ,Tasty healthy food! Loved it.,a year ago
173,Ilyas A. Malik, 4 stars ,"Great Food, great service.",a year ago
174,Ali Saleh, 2 stars ,"Hi Ali,
We appreciate your kind words, see you soon",8 months ago
175,Josiane Khoury, 4 stars ,coffee was horrible ..,10 months ago
176,Basil Akwan, 5 stars ,We apologize for your experience someone Two. We take pride in our meticulously crafted and sourced coffee beans and would like to give you a variety of options to try out on your next visit. We hope to see you soon.,a year ago
177,Aditya M, 5 stars ,One of the wonderful place to stop at Dubai JBR with humble hospitality by the staff...,4 months ago
178,Melisa Aravena, 5 stars ,"Thank you for your lovely review Vinod, we appreciate it and look forward to welcoming you again.",11 months ago
179,koray baysal, 5 stars ,The french toast was amazing!,10 months ago
180,Nisha Ganapathy, 3 stars ,"Thank you for your wonderful review Lauren, we look forward to seeing you soon.",a year ago
181,Jonan Kwagala, 5 stars ,Awesome and wholesome dishes.,a month ago
182,Андрей Сагун, 4 stars ,"Thank you for your lovely review Farinaz, we look forward to welcoming you again.",a year ago
183,Darragh Bellew, 5 stars ,Delicious food in a nice environment,a year ago
184,Marc Teyrouz, 5 stars ,"Thank you for your lovely review Davis, we look forward to welcoming you again.",a year ago
185,Diego Aravena, 5 stars ,Amazing americano with a intense taste,a year ago
186,Manal Sallam, 4 stars ,"Hi Kim,

Great to know that you loved our coffee , welook forward to welcome you again",5 months ago
